Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Wanted
7317.01000000,7335.00000000,7262.68000000,7283.00000000,1227.92914500,8971337.08503506,13256,576.86847300,4217244.77246865,0.18620000,0.18740000,0.18480000,0.18500000,271207.91000000,50517.49818100,300,154344.92000000,28783.70604900,7301.32000000
7281.69000000,7320.54000000,7260.01000000,7300.56000000,1407.54526500,10255827.30858228,16357,746.19545100,5439215.09984980,0.18510000,0.18610000,0.18450000,0.18590000,233771.78000000,43292.64321200,262,137088.66000000,25417.39201000,7345.00000000
7301.32000000,7346.08000000,7291.75000000,7344.96000000,1712.85633800,12540187.59056603,14442,1065.19420400,7797565.57079987,0.18570000,0.18730000,0.18570000,0.18650000,242666.83000000,45252.39015200,216,151175.32000000,28198.17185900,7304.96000000
7345.00000000,7350.00000000,7289.98000000,7302.24000000,1240.40648400,9078998.36200795,12819,638.58482500,4674982.41677796,0.18650000,0.18680000,0.18480000,0.18590000,155172.98000000,28799.92967600,154,89584.36000000,16643.67307400,7308.71000000
7304.96000000,7312.58000000,7280.85000000,7309.16000000,821.32123900,5995763.76346649,9449,385.80082900,2816706.44240979,0.18570000,0.18620000,0.18370000,0.18480000,127072.01000000,23493.71044900,186,50754.70000000,9412.36936500,7328.21000000
7308.71000000,7328.99000000,7296.18000000,7327.83000000,868.28171500,6347480.77036324,8757,480.70270400,3514344.60271422,0.18470000,0.18470000,0.18310000,0.18470000,196466.19000000,36113.77823500,187,121760.73000000,22392.18489400,7333.14000000
7328.21000000,7339.69000000,7318.56000000,7333.11000000,763.77539700,5598498.15114238,9039,364.40663900,2671265.77368834,0.18460000,0.18540000,0.18410000,0.18410000,148686.85000000,27444.68150800,166,108912.52000000,20108.18820400,7334.59000000
7333.14000000,7338.46000000,7312.65000000,7334.86000000,691.83320500,5068965.03391615,7936,350.86769200,2570685.59771596,0.18460000,0.18640000,0.18400000,0.18610000,232633.24000000,43148.66461200,236,158556.23000000,29425.31066200,7344.70000000
7334.59000000,7369.28000000,7325.00000000,7344.69000000,1306.73878500,9599549.39428373,11322,686.85943200,5045356.36727312,0.18590000,0.18690000,0.18580000,0.18660000,74703.63000000,13919.25811500,143,36563.13000000,6815.91747900,7354.95000000
7344.70000000,7367.88000000,7340.00000000,7354.96000000,1168.09703600,8588833.52266133,9966,623.61341200,4585244.98361740,0.18640000,0.18830000,0.18640000,0.18820000,98104.02000000,18388.45622800,146,37212.25000000,6979.98521900,7348.04000000
7354.95000000,7363.63000000,7327.32000000,7348.11000000,1352.88086500,9937643.00037155,12154,738.57006100,5425429.78363615,0.18820000,0.19000000,0.18790000,0.18840000,357261.78000000,67507.06184700,229,239997.93000000,45411.71460600,7346.40000000
7348.04000000,7365.00000000,7330.00000000,7346.59000000,1272.74322500,9349986.41497317,10447,754.21728400,5541046.30271424,0.18860000,0.18880000,0.18740000,0.18740000,213502.59000000,40085.22232400,150,124581.19000000,23382.78803100,7364.32000000
